Extraversion,Number of Texters,Hours of Sleep,Handedness,Undergrad Year
5,3,7,Right-handed,First
1,2,7.5,Right-handed,Second
4,5,6,Right-handed,Third
8,3,7,Right-handed,Third
3,2,6,Right-handed,Third
3,4,8,Right-handed,Fourth or Higher
2,0,10,Right-handed,Fourth or Higher
7,6,6,Right-handed,First
5,4,8,Right-handed,Third
5,5,8,Right-handed,Third
4,4,6,Right-handed,Third
4,3,6,Right-handed,Third
2,1,7,Right-handed,Second
7,6,7,Right-handed,First
7,2,8,Right-handed,Second
5,6,8,Left-handed,First
6,12,7,Right-handed,First
6,5,8,Right-handed,First
1,1,7,Right-handed,Second
4,1,7,Right-handed,Third
4,3,8,Right-handed,First
5,4,7,Right-handed,Second
6,5,7,Right-handed,First
5,5,7,Right-handed,Second
1,4,9,Right-handed,Second
8,10,11,Left-handed,Third
7,3,8,Right-handed,First
6,7,8,Right-handed,First
5,4,9,Right-handed,First
6,5,7.5,Right-handed,Second
2,8,8,Left-handed,First
8,10,7,Right-handed,First
5,7,7,Right-handed,Second
5,10,7,Ambidextrous / It's Complicated,First
3,4,8,Right-handed,Third
2,4,7,Right-handed,First
7,7,7,Right-handed,First
8,8,9,Right-handed,First
6,5,7,Right-handed,Third
5,16,7,Right-handed,First
3,5,7,Right-handed,First
3,2,7,Right-handed,First
4,5,9,Right-handed,First
3,5,7,Right-handed,Second
5,15,8,Right-handed,First
7,5,8,Left-handed,First
4,5,9,Right-handed,Third
3,2,7.5,Right-handed,Third
7,10,7,Right-handed,First
6,5,7,Left-handed,First
8,3,7,Right-handed,Third
7,5,8,Right-handed,Third
3,8,7,Right-handed,First
6,3,8,Right-handed,First
5,10,5,Right-handed,First
6,3,8,Right-handed,First
7,10,7,Right-handed,First
2,6,10,Right-handed,Second
7,6,8,Right-handed,First
8,40,8,Right-handed,First
3,1,7,Right-handed,Second
7,5,6,Right-handed,Second
6,10,8,Right-handed,Fourth or Higher
7,3,7,Right-handed,First
7,2,9,Right-handed,First
6,4,8,Right-handed,First
1,3,6,Right-handed,First
